INVENTAIRE UNIFIÉ DES SOURCES DE VEILLE (MALI),,,,,,,,,,
Instructions Scraper : Filtrer sur 'Statut Technique' = 'ACTIF_200' (requête standard) et 'ACTIF_403' (requête avec contournement anti-bot).,,,,,,,,,,
,,,,,,,,,,
ID Source,Organisme/Site,Catégorie d'Origine,Sous-Catégorie,Type d'Offre,URL,Statut Visuel,Statut Technique,Type Scraper,Fréquence,Description / Notes
SRC_040,RFI Emploi Afrique,Plateformes & presse,Média,Emploi,https://www.rfi.fr/fr/emploi/afrique,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,Offres d'emploi Afrique.
SRC_043,Malibaara,Plateformes & presse,Job board,Emploi/stage,https://www.malibaara.com,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,«Le site par excellence de recherche d'emplois au Mali».
SRC_044,MLemploi,Plateformes & presse,Job board,Emploi/appels d'offres,https://www.mlemploi.com,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"1er site d'offres d'emploi, d'appels d'offres, de conseil."
SRC_045,Emploi 365 Mali,Plateformes & presse,Job board,Emploi,https://emploi365.com,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Recrutement & offres d'emploi au Mali.
SRC_046,Y'a bara,Plateformes & presse,Job board,Emploi/stage,https://yabara.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Offres d'emplois et stages — recrutement.
SRC_047,Maliavis.com,Plateformes & presse,Job board,Emploi,https://maliavis.com,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Portail d'annonces emploi au Mali.
SRC_048,Afrik Emploi,Plateformes & presse,Job board / panafricain,Emploi,https://afrikemploi.com,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Portail d'offres d'emploi Afrique (Mali).
SRC_049,Emploi Et Moi,Plateformes & presse,Job board,Emploi,https://www.emploietmoi.com,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,«Un emploi pour chaque Malien».
SRC_050,PNUD Mali,ONG & organismes internationaux,Agence ONU,Emploi/stage/bourses,https://www.undp.org/mali,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,"Postes nationaux/internationaux, internships, consultants."
SRC_051,UNICEF Mali,ONG & organismes internationaux,Agence ONU,Emploi/stage/volontariat,https://www.unicef.org/mali,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,"Annonces postes, volontariat, stages."
SRC_052,PAM (WFP),ONG & organismes internationaux,Agence ONU,Carrières/jeunes prof.,https://www.wfp.org/careers,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Recrutements (dont Mali), jeunes professionnels."
SRC_053,OIM,ONG & organismes internationaux,Organisation intergouv.,Emploi/stage,https://www.iom.int,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,"Missions Mali, recrutements, stages humanitaires."
SRC_054,ONU Mali,ONG & organismes internationaux,Admin ONU,Postes/terrain/volontaires,https://mali.un.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Opportunités, postes, volontaires."
SRC_055,Volontaires ONU (VNU),ONG & organismes internationaux,Programme ONU,Volontariat,https://www.unv.org,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,Missions volontariat (très utilisé au Mali).
SRC_056,ONU Femmes,ONG & organismes internationaux,Agence ONU,Emploi/programmes,https://www.unwomen.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Recrutements, programmes jeunesse/égalité."
SRC_057,FAO,ONG & organismes internationaux,Agence ONU,Emploi,https://www.fao.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Alimentation/agriculture, présence Mali."
SRC_058,OIT / ILO,ONG & organismes internationaux,Agence ONU,Emploi/formation jeunes,https://www.ilo.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Programme Travail décent, formations, stages."
SRC_059,OMS Mali,ONG & organismes internationaux,Agence ONU,Postes santé,https://www.afro.who.int/fr/countries/mali,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Postes santé publique.
SRC_060,UNESCO,ONG & organismes internationaux,Agence ONU,Bourses/formation,https://www.unesco.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Bourses, chaires, programmes éducation."
SRC_061,HCR (UNHCR),ONG & organismes internationaux,Agence ONU,Emploi/partenariats,https://www.unhcr.org,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,"Protection réfugiés, recrutements."
SRC_062,FNUAP (UNFPA),ONG & organismes internationaux,Agence ONU,Emploi,https://www.unfpa.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Santé sexuelle/reproductive, recrutements."
SRC_063,PNUE,ONG & organismes internationaux,Agence ONU,Emploi/projets,https://www.unep.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Environnement, Sahel."
SRC_064,ONUDI,ONG & organismes internationaux,Agence ONU,Formation/entreprenariat,https://www.unido.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Développement industriel.
SRC_065,Banque Mondiale Portefeuille/Carrières,ONG & organismes internationaux,Bailleur,Emploi/jeunes prof. (YPP),https://www.worldbank.org/fr/country/mali,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Financement projets, carrières, YPP."
SRC_066,BAD - Banque Africaine de Développement,ONG & organismes internationaux,Bailleur,Emploi/jeunes prof.,https://www.afdb.org,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,"Bureau Mali, postes, programme jeunes prof."
SRC_067,FMI,ONG & organismes internationaux,Institution,Carrières,https://www.imf.org,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,"Représentation Mali, carrières."
SRC_068,GIZ (Coop. allemande),ONG & organismes internationaux,Bailleur,Emploi/stage/formation,https://www.giz.de,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Coopération technique Mali (+ jobs.giz.de).
SRC_069,KfW,ONG & organismes internationaux,Bailleur,Financement,https://www.kfw-entwicklungsbank.de,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Financement de projets Mali.
SRC_070,AFD,ONG & organismes internationaux,Bailleur,Emploi/stage/projets,https://www.afd.fr/fr/page-region-pays/mali,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Projets de développement Mali.
SRC_071,DDC Suisse (EDA),ONG & organismes internationaux,Bailleur,Coopération,https://www.eda.admin.ch/deza,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,Aide suisse au Mali.
SRC_072,Union Européenne - EEAS Mali,ONG & organismes internationaux,Organisation,Développement/bourses Erasmus+,https://www.eeas.europa.eu/mali_fr,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Délégation UE Bamako, Erasmus+."
SRC_073,Enabel (Coop. belge),ONG & organismes internationaux,Bailleur,Emploi/stage,https://www.enabel.be,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Bureau Mali, postes, stages."
SRC_074,LuxDev (Luxembourg),ONG & organismes internationaux,Bailleur,Projets,https://luxdev.lu,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Projets Mali.
SRC_075,Ambassade de France - SCAC / Campus France,ONG & organismes internationaux,Agence,Bourses/études/service civique,https://ml.ambafrance.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Coopération culturelle, bourses, Campus France."
SRC_076,Ambassade US / USAID,ONG & organismes internationaux,Bailleur,Bourses (Fulbright),https://ml.usembassy.gov,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Bourses, projets USAID (en réorganisation)."
SRC_077,JICA (Japon),ONG & organismes internationaux,Bailleur,Projets/formations,https://www.jica.go.jp,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Projets et formations Mali.
SRC_078,France Volontaires,ONG & organismes internationaux,Programme,Volontariat,https://www.france-volontaires.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Volontariats de solidarité internationale.
SRC_080,UEMOA - Bourses d'excellence,ONG & organismes internationaux,Organisation régionale,Bourses/formation/carrières,https://www.uemoa.int,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Bourses d'excellence UEMOA, emplois."
SRC_081,CEDEAO / ECOWAS,ONG & organismes internationaux,Organisation régionale,Carrières,https://ecowas.int/career,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Postes au Mali.
SRC_082,Union Africaine (UA),ONG & organismes internationaux,Organisation régionale,Carrières/jeunes prof.,https://au.int/careers,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Carrières UA, jeunes professionnels."
SRC_083,Croix-Rouge Française,ONG & organismes internationaux,ONG int'l,Emploi humanitaire,https://www.croix-rouge.fr,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Aide humanitaire Mali.
SRC_084,Croix-Rouge Malienne,ONG & organismes internationaux,ONG locale,Emploi/volontariat/formation,https://www.croix-rouge.ml,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Recrutements, volontariat, formations."
SRC_085,MSF - Médecins Sans Frontières,ONG & organismes internationaux,ONG int'l,Emploi humanitaire,https://www.msf.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Opérations Mali.
SRC_086,Action contre la Faim (ACF),ONG & organismes internationaux,ONG int'l,Emploi/Nutrition,https://www.actioncontrelafaim.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Missions nutrition/urgence Mali.
SRC_087,Handicap International (HI),ONG & organismes internationaux,ONG int'l,Emploi,https://www.hi.org/fr,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Programmes Mali.
SRC_088,Solidarités International,ONG & organismes internationaux,ONG int'l,Emploi,https://www.solidarites.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Eau/hygiène Mali.
SRC_089,Save the Children Mali,ONG & organismes internationaux,ONG int'l,Emploi/stage,https://mali.savethechildren.net,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Protection enfance, postes/stages."
SRC_090,Plan International Mali,ONG & organismes internationaux,ONG int'l,Emploi/volontariat,https://plan-international.org/mali,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Droits de l'enfant.
SRC_091,World Vision Mali,ONG & organismes internationaux,ONG int'l,Recrutements,https://www.wvi.org/mali,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Développement communautaire.
SRC_092,IRC - International Rescue Committee,ONG & organismes internationaux,ONG int'l,Emploi humanitaire,https://www.rescue.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Postes humanitaires Mali.
SRC_093,NRC - Norwegian Refugee Council,ONG & organismes internationaux,ONG int'l,Recrutements,https://www.nrc.no,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Programmes Mali.
SRC_094,DRC - Danish Refugee Council,ONG & organismes internationaux,ONG int'l,Recrutements,https://drc.ngo,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Missions Mali.
SRC_095,COOPI,ONG & organismes internationaux,ONG int'l,Emploi,https://www.coopi.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Sécurité alimentaire Mali.
SRC_096,Médecins du Monde,ONG & organismes internationaux,ONG int'l,Emploi,https://www.medecinsdumonde.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Santé.
SRC_097,CARE International,ONG & organismes internationaux,ONG int'l,Emploi,https://www.care.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Programmes Mali.
SRC_098,Oxfam Intermon,ONG & organismes internationaux,ONG int'l,Emploi,https://oxfamintermon.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Missions Mali/Sahel.
SRC_099,Concern Worldwide,ONG & organismes internationaux,ONG int'l,Emploi,https://www.concern.net,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Aide au Mali.
SRC_100,Mercy Corps,ONG & organismes internationaux,ONG int'l,Emploi,https://www.mercycorps.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Programmes Sahel.
SRC_101,Islamic Relief,ONG & organismes internationaux,ONG int'l,Emploi,https://www.islamic-relief.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Présence Mali.
SRC_102,ZOA,ONG & organismes internationaux,ONG int'l,Emploi,https://www.zoa-international.com,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Programmes Mali.
SRC_103,Diakonie Katastrophenhilfe,ONG & organismes internationaux,ONG allemande,Emploi,https://www.diakonie-katastrophenhilfe.de,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Aide d'urgence.
SRC_104,HELVETAS,ONG & organismes internationaux,ONG suisse,Emploi,https://www.helvetas.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Développement rural.
SRC_105,Inter Aide,ONG & organismes internationaux,ONG française,Emploi,https://www.interaide.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Programmes Mali.
SRC_106,Caritas,ONG & organismes internationaux,Réseau ONG,Emploi,https://www.caritas.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Réseau Caritas Mali.
SRC_107,DAI,ONG & organismes internationaux,Entreprise USAID,Emploi développement,https://www.dai.com,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Implémentation projets.
SRC_108,Chemonics,ONG & organismes internationaux,Entreprise USAID,Emploi développement,https://www.chemonics.com,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,Projets développement Mali.
SRC_109,JSI - John Snow Inc.,ONG & organismes internationaux,ONG santé,Emploi,https://www.jsi.com,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,Projets santé Mali.
SRC_110,MSH - Management Sciences for Health,ONG & organismes internationaux,ONG santé,Emploi,https://msh.org,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,Systèmes de santé Mali.
SRC_111,FHI 360,ONG & organismes internationaux,ONG int'l,Emploi,https://www.fhi360.org,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,Projets santé/développement.
SRC_112,SOS Villages d'Enfants,ONG & organismes internationaux,ONG int'l,Emploi,https://www.sosve.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Protection enfance.
SRC_113,Groupe Agir pour le Sahel,ONG & organismes internationaux,ONG locale,Emploi/programmes,https://www.groupeagir.com,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,ONG sahélienne malienne.
SRC_114,ANPE Mali (agence),ONG & organismes internationaux,Agence publique,Emploi/stage,https://anpemali.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Guichet public de l'emploi.
SRC_115,APEJ (agence),ONG & organismes internationaux,Agence publique,Emploi/stage/formation,https://www.apej.ml,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Guichet national des jeunes.
SRC_116,FECONG - Fédération Collectifs ONG Mali,ONG & organismes internationaux,Réseau ONG locales,Emploi/partenariats,https://www.fecong.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Coordination ONG maliennes, annonces."
SRC_117,FONGIM - Forum des ONG Internationales au Mali,ONG & organismes internationaux,Réseau/coordination ONG,Emploi/partenariats/plaidoyer,https://www.fongim.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Coordination des ONG internationales au Mali : coordonner, plaider, renforcer."
SRC_118,IFDC - International Fertilizer Development Center,ONG & organismes internationaux,ONG int'l,Emploi,https://www.ifdc.org/careers,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Développement agricole/engrais ; bureau Mali, postes terrain & siège."
SRC_119,IMPACT Initiatives,ONG & organismes internationaux,ONG int'l,Emploi,https://www.impact-initiatives.org/careers,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Recherche/évaluation humanitaire (REACH) ; missions au Mali et au Sahel.
SRC_120,AMASSA Afrique Verte,ONG & organismes internationaux,ONG locale,Emploi/projets,-,❌ Inaccessible,INACCESSIBLE,NON_CONFIGURÉ,AUCUNE,Présence via ReliefWeb (site ne résout plus).
SRC_121,ARCAD Santé,ONG & organismes internationaux,ONG locale,Emploi,-,❌ Inaccessible,INACCESSIBLE,NON_CONFIGURÉ,AUCUNE,Présence via ReliefWeb (site ne résout plus).
SRC_122,Fondation Mastercard,ONG & organismes internationaux,Fondation,Bourses/employabilité,https://mastercardfdn.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Programmes Jeunes en Afrique.
SRC_123,Fondation Tony Elumelu,ONG & organismes internationaux,Fondation,Entreprenariat/bourses,https://www.tonyelumelufoundation.org,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Programme entrepreneurs africains.
